,gal_num,redshift,xcoord,xcoord_error,ycoord,ycoord_error,int_mag,int_mag_error,half_light_rad,half_light_rad_error,sersic_index,sersic_index_error,axis_ratio,axis_ratio_error,position_angle,position_angle_error,reduced_chi_squared,inclination_angle,is_good_fit,shows_internal_struct,overlaps_w_object,is_big_galaxy,edited,double_model,QSO,azimuthal_angle
7,86,0.41763,1750.0,0.01,2396.35,0.01,-27.39,0.0,10.96,0.05,1.41,0.01,0.64,0.0,5.7,0.18,0.589,50.20818050044277,True,True,False,True,False,False,PG1630+377,61.3752345793292
8,87,0.5553,2864.36,0.0,2496.06,0.01,-25.9,0.01,7.63,0.07,1.9,0.01,0.86,0.0,-48.25,0.91,0.139,30.68341710897582,True,True,False,True,False,False,PG1630+377,42.924943505631425
9,89,0.6393,3196.81,0.11,3092.88,0.06,-25.44,0.03,23.66,0.53,0.95,0.02,0.55,0.01,59.22,0.62,0.082,56.63298703076825,True,True,False,True,False,False,PG1630+377,64.29826738092167
10,90,0.7186,2651.05,0.09,3176.52,0.2,-23.84,0.04,12.28,0.58,0.92,0.05,0.34,0.01,24.43,0.99,0.28,70.12312592992117,True,False,False,True,True,False,PG1630+377,7.218721548520282
11,91,0.914,2693.98,0.04,3189.38,0.07,-24.03,0.01,6.53,0.12,0.72,0.02,0.62,0.01,10.66,1.24,0.175,51.68386552633426,False,True,True,True,True,False,PG1630+377,63.614272402705154
12,92,1.43315,1997.55,0.18,3634.24,0.25,-23.5,0.02,15.0,0.45,0.55,0.03,0.39,0.01,-36.16,0.95,0.073,67.04550059860719,True,True,False,True,False,False,PG1630+377,75.08325815824219
0,0,0.12033,2252.33,0.01,3117.77,0.0,-28.91,0.0,9.72,0.05,1.67,0.01,0.57,0.0,76.77,0.15,15.564,55.24977424631754,True,False,False,True,True,False,PG1522+101,4.372553902047933
1,1,1.09566,2149.0,0.05,2698.4,0.06,-21.49,0.05,2.15,0.12,0.78,0.06,0.84,0.04,24.22,10.75,0.102,32.85988037888911,True,False,False,False,False,False,PG1522+101,19.573085325641173
2,2,1.19358,2140.16,0.13,2728.7,0.15,-21.44,0.06,3.88,0.32,0.65,0.09,0.51,0.03,41.25,3.84,0.117,59.33617025761404,True,False,False,True,False,False,PG1522+101,19.539698870759942
3,3,0.64658,2004.04,0.41,2771.82,0.34,-22.1,0.07,10.97,0.48,0.13,0.03,0.46,0.02,-49.92,2.27,0.088,62.612892497346095,True,False,False,True,False,False,PG1522+101,20.368761169372508
4,4,0.65302,2533.3,0.16,3182.77,0.21,-23.78,0.18,14.81,2.19,1.17,0.13,0.77,0.03,-6.08,5.31,0.078,39.64611114697372,True,False,False,True,False,False,PG1522+101,47.59443121696647
5,5,0.37579,1904.21,0.24,3123.8,0.08,-22.13,0.03,6.94,0.33,0.53,0.05,0.34,0.01,74.09,1.33,0.086,70.12312592992117,True,False,False,True,False,False,PG1522+101,26.92315767187165
6,6,0.61729,2170.39,0.05,3530.7,0.11,-22.01,0.04,4.52,0.23,0.76,0.05,0.48,0.01,17.4,1.99,0.077,61.31459798588108,True,False,False,True,False,False,PG1522+101,21.583979016954093
0,0,0.1363294422626495,2032.15,0.02,2544.58,0.02,-25.61,0.03,6.55,0.19,1.41,0.04,0.71,0.01,33.8,1.39,0.864,44.76508467132842,True,True,False,True,False,False,PG1206+459,55.10687547060518
1,1,0.206727996468544,2120.92,0.02,2242.17,0.01,-25.81,0.01,8.68,0.12,1.29,0.01,0.54,0.0,-63.75,0.35,0.221,57.31636115374206,True,False,False,True,False,False,PG1206+459,3.253816096998833
2,2,0.2147,2345.13,0.11,2461.21,0.12,-25.91,1.01,46.46,40.39,2.48,0.66,0.91,0.05,-27.57,17.66,0.257,24.49464847141968,True,False,False,True,False,False,PG1206+459,63.870810493664216
3,3,0.415,1775.95,1.31,2189.45,0.99,-21.02,0.69,2.79,1.41,0.13,0.44,0.74,0.47,57.76,73.52,3.944,42.26858442957247,False,False,False,False,False,False,PG1206+459,24.265114118338477
4,5,0.4275,2106.28,0.01,3251.47,0.0,-27.43,0.0,6.92,0.04,1.39,0.01,0.85,0.0,-58.13,0.61,0.788,31.78833061705162,True,False,False,True,False,False,PG1206+459,9.06136479466951
5,6,0.9273,2098.43,0.02,3825.9,0.05,-25.98,0.01,18.98,0.15,0.83,0.01,0.21,0.0,24.96,0.09,0.135,77.87764775521089,False,True,False,True,False,False,PG1206+459,31.612072957815098
0,1728,0.01521,1167.27,0.05,679.56,0.04,16.25,0.01,4.81,0.11,0.6,0.07,0.5,0.02,-49.47,1.76,1.11,59.99999999999999,True,False,True,True,True,False,J1342-0053,76.0494337586005
1,1729,0.0711411,1663.52,0.0,1061.76,0.0,12.61,0.0,6.22,0.03,2.36,0.01,0.7,0.0,-14.87,0.25,0.875,45.5729959991943,True,True,False,True,True,False,J1342-0053,48.01748140469366
2,1731,0.11492,818.03,0.04,1547.88,0.01,14.5,0.0,10.91,0.05,0.37,0.01,0.23,0.0,70.57,0.13,1.138,76.70292825279094,True,True,False,True,False,False,J1342-0053,87.43322593728544
